Problem,GPT_35_t0_v0,GPT_35_t0_v0_i2,GPT_35_t0_v0_i3,GPT_35_t0_v0_i4,GPT_35_t0_v1,GPT_35_t0_v1_i2,GPT_35_t1_v0,GPT_35_t1_v0_i2,GPT_35_t1_v0_i3,GPT_35_t1_v0_i4,GPT_35_t1_v1,GPT_35_t1_v1_i2,GPT_35_t1_v2,GPT_35_t1_v2_i2,GPT_35_t1_v3,GPT_35_t1_v3_i2,GPT_35_t2_v0,GPT_4_t0_v0,GPT_4_t0_v1,GPT_4_t1_v0,GPT_4_t1_v1,GPT_4_t1_v2,GPT_4_t1_v3,GPT_4_t2_v0
MBPP72,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.7,0.20000000000000007,0.09999999999999998,0.4,0.4,0.30000000000000004,0.30000000000000004,1.0
HE162,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
MBPP603,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.4,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.20000000000000007
YTDL3,0.5999999999999999,-,-,-,0.09999999999999998,0.5,0.5,-,-,-,0.5999999999999999,-,0.5999999999999999,-,0.7,-,-,0.7999999999999999,0.9,1.0,1.0,0.7999999999999999,0.9,-
MBPP59,0.9,-,-,-,0.7,-,0.7,-,-,-,0.5999999999999999,-,0.4,-,0.0,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
HE6,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,0.0,-,1.0,-,-,1.0,1.0,1.0,1.0,0.7,1.0,-
HE160,0.7999999999999999,-,-,-,1.0,-,0.7999999999999999,-,-,-,1.0,-,0.5,-,0.5999999999999999,-,0.7999999999999999,1.0,1.0,0.7999999999999999,0.7,0.7999999999999999,0.7999999999999999,0.9
CC1575H,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YTDL5,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YTDL6,0.0,0.0,-,-,0.09999999999999998,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.20000000000000007,0.20000000000000007,0.0,0.0,0.20000000000000007,0.0,0.5
HE156,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,0.9,1.0,1.0,1.0,-
CC1575A,0.0,0.09999999999999998,0.0,0.09999999999999998,0.0,0.0,0.0,0.09999999999999998,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5999999999999999,0.5,0.20000000000000007,0.30000000000000004,0.5
HE31,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,0.9,-,1.0,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
CC1582F2,0.09999999999999998,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.09999999999999998,0.4,0.20000000000000007,0.09999999999999998,0.0,0.0,0.0,0.0
MBPP390,0.9,-,-,-,0.9,-,0.0,0.0,-,-,0.4,-,0.0,-,0.30000000000000004,-,-,1.0,1.0,0.7999999999999999,0.9,0.09999999999999998,0.7,-
MBPP129,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,0.9,-,-,1.0,1.0,0.9,0.9,1.0,0.7999999999999999,-
MBPP103,0.0,-,-,-,0.0,-,0.09999999999999998,-,-,-,0.0,-,0.0,-,0.0,-,-,0.5999999999999999,0.30000000000000004,0.5999999999999999,0.5999999999999999,0.5,0.7999999999999999,-
CC1580B,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HE18,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
MBPP163,0.9,-,-,-,1.0,-,1.0,-,-,-,0.7,-,0.7999999999999999,-,0.9,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
HE11,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,0.9,-,1.0,-,-,1.0,1.0,1.0,0.9,0.9,0.9,-
MBPP311,0.09999999999999998,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.5999999999999999,0.0,0.0,0.09999999999999998,0.0,0.09999999999999998,0.0,0.20000000000000007
MBPP428,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,0.0,1.0,-
MBPP783,0.09999999999999998,-,-,-,0.0,-,0.5,-,-,-,0.4,-,0.30000000000000004,-,0.0,-,-,0.5999999999999999,0.30000000000000004,1.0,1.0,1.0,1.0,-
YTDL4,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HE51,1.0,-,-,-,1.0,-,0.7,-,-,-,0.9,-,0.9,-,0.09999999999999998,-,-,1.0,1.0,1.0,0.5999999999999999,0.7999999999999999,0.5,-
HE89,1.0,-,-,-,1.0,-,0.7999999999999999,-,-,-,0.7999999999999999,-,0.7,-,0.9,-,-,0.7999999999999999,1.0,0.4,0.7,0.20000000000000007,0.9,-
HE127,0.5999999999999999,-,-,-,0.7,-,0.7,-,-,-,0.5,-,0.30000000000000004,-,0.5999999999999999,-,0.7999999999999999,0.7999999999999999,0.7,0.4,0.7999999999999999,0.09999999999999998,0.7,1.0
YTDL2,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.09999999999999998,-,0.20000000000000007,0.09999999999999998,0.0,0.09999999999999998,0.09999999999999998,0.0,0.0,0.30000000000000004
HE111,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
YTDL1,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-
MBPP765,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.20000000000000007,0.5,0.7,0.9,0.7,0.7,0.0,0.9
MBPP392,1.0,-,-,-,1.0,-,1.0,-,-,-,0.9,-,1.0,-,1.0,-,0.9,0.9,0.5,0.9,0.09999999999999998,0.7,0.9,0.7999999999999999
CC1620C,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
